,Time,mV,ppb
1378,03/07/24:13:18:29,239.566,419
1379,03/07/24:13:18:30,239.603,419
1380,03/07/24:13:18:31,239.65,419
1381,03/07/24:13:18:32,239.81,419
1382,03/07/24:13:18:33,239.815,419
1383,03/07/24:13:18:34,239.825,419
1384,03/07/24:13:18:35,239.855,419
1385,03/07/24:13:18:36,239.999,419
1386,03/07/24:13:18:37,240.061,420
1387,03/07/24:13:18:39,240.081,420
1388,03/07/24:13:18:40,240.074,420
1389,03/07/24:13:18:41,240.086,420
1390,03/07/24:13:18:42,240.265,420
1391,03/07/24:13:18:43,240.284,420
1392,03/07/24:13:18:44,240.283,420
1393,03/07/24:13:18:45,240.275,420
1394,03/07/24:13:18:46,240.295,420
1395,03/07/24:13:18:47,240.473,420
1396,03/07/24:13:18:48,240.495,420
1397,03/07/24:13:18:49,240.504,421
1398,03/07/24:13:18:50,240.525,421
1399,03/07/24:13:18:51,240.589,421
1400,03/07/24:13:18:52,240.723,421
1401,03/07/24:13:18:53,240.734,421
1402,03/07/24:13:18:54,240.775,421
1403,03/07/24:13:18:55,240.838,421
1404,03/07/24:13:18:56,241.037,422
1405,03/07/24:13:18:57,241.101,422
1406,03/07/24:13:18:58,241.12,422
1407,03/07/24:13:18:59,241.123,422
1408,03/07/24:13:19:00,241.163,422
1409,03/07/24:13:19:01,241.355,422
1410,03/07/24:13:19:02,241.362,422
1411,03/07/24:13:19:03,241.418,422
1412,03/07/24:13:19:04,241.473,422
1413,03/07/24:13:19:05,241.531,423
1414,03/07/24:13:19:06,241.684,423
1415,03/07/24:13:19:08,241.69,423
1416,03/07/24:13:19:09,241.686,423
1417,03/07/24:13:19:10,241.719,423
1418,03/07/24:13:19:11,241.898,423
1419,03/07/24:13:19:12,241.958,423
1420,03/07/24:13:19:13,241.985,423
1421,03/07/24:13:19:14,241.999,423
1422,03/07/24:13:19:15,242.056,424
1423,03/07/24:13:19:16,242.236,424
1424,03/07/24:13:19:17,242.222,424
1425,03/07/24:13:19:18,242.223,424
1426,03/07/24:13:19:19,242.24,424
1427,03/07/24:13:19:20,242.434,424
1428,03/07/24:13:19:21,242.51,425
1429,03/07/24:13:19:22,242.541,425
1430,03/07/24:13:19:23,242.665,425
1431,03/07/24:13:19:24,242.837,425
1432,03/07/24:13:19:25,243.14,426
1433,03/07/24:13:19:26,243.285,426
1434,03/07/24:13:19:27,243.452,426
1435,03/07/24:13:19:28,243.675,427
1436,03/07/24:13:19:29,244.104,428
1437,03/07/24:13:19:30,244.503,429
1438,03/07/24:13:19:31,244.851,429
1439,03/07/24:13:19:32,245.267,430
1440,03/07/24:13:19:33,245.814,431
1441,03/07/24:13:19:35,246.391,432
1442,03/07/24:13:19:36,246.85,433
1443,03/07/24:13:19:37,247.38,434
1444,03/07/24:13:19:38,247.944,435
1445,03/07/24:13:19:39,248.704,437
1446,03/07/24:13:19:40,249.265,438
1447,03/07/24:13:19:41,249.813,439
1448,03/07/24:13:19:42,250.382,440
1449,03/07/24:13:19:43,251.057,442
1450,03/07/24:13:19:44,251.665,443
1451,03/07/24:13:19:45,252.119,444
1452,03/07/24:13:19:46,252.593,445
1453,03/07/24:13:19:47,253.168,446
1454,03/07/24:13:19:48,253.687,447
1455,03/07/24:13:19:49,253.881,447
1456,03/07/24:13:19:50,253.933,447
1457,03/07/24:13:19:51,254.121,448
1458,03/07/24:13:19:52,254.375,448
1459,03/07/24:13:19:53,254.507,449
1460,03/07/24:13:19:54,254.666,449
1461,03/07/24:13:19:55,254.859,449
1462,03/07/24:13:19:56,255.067,450
1463,03/07/24:13:19:57,255.162,450
1464,03/07/24:13:19:58,255.259,450
1465,03/07/24:13:19:59,255.391,450
1466,03/07/24:13:20:00,255.594,451
1467,03/07/24:13:20:01,255.659,451
1468,03/07/24:13:20:03,255.72,451
1469,03/07/24:13:20:04,255.789,451
1470,03/07/24:13:20:05,255.844,451
1471,03/07/24:13:20:06,255.814,451
1472,03/07/24:13:20:07,255.794,451
1473,03/07/24:13:20:08,255.836,451
1474,03/07/24:13:20:09,255.844,451
1475,03/07/24:13:20:10,255.773,451
1476,03/07/24:13:20:11,255.686,451
1477,03/07/24:13:20:12,255.733,451
1478,03/07/24:13:20:13,255.711,451
1479,03/07/24:13:20:14,255.657,451
1480,03/07/24:13:20:15,255.582,451
1481,03/07/24:13:20:16,255.694,451
1482,03/07/24:13:20:17,255.622,451
1483,03/07/24:13:20:18,255.47,450
1484,03/07/24:13:20:19,255.367,450
1485,03/07/24:13:20:20,255.436,450
1486,03/07/24:13:20:21,255.326,450
1487,03/07/24:13:20:22,255.2,450
1488,03/07/24:13:20:23,255.099,450
1489,03/07/24:13:20:24,255.137,450
1490,03/07/24:13:20:25,255.026,450
1491,03/07/24:13:20:26,254.911,449
1492,03/07/24:13:20:27,254.819,449
1493,03/07/24:13:20:29,254.829,449
1494,03/07/24:13:20:30,254.713,449
1495,03/07/24:13:20:31,254.605,449
1496,03/07/24:13:20:32,254.515,449
1497,03/07/24:13:20:33,254.483,448
1498,03/07/24:13:20:34,254.369,448
1499,03/07/24:13:20:35,254.313,448
1500,03/07/24:13:20:36,254.324,448
1501,03/07/24:13:20:37,254.212,448
1502,03/07/24:13:20:38,254.134,448
1503,03/07/24:13:20:39,254.132,448
1504,03/07/24:13:20:40,254.039,448
1505,03/07/24:13:20:41,253.976,447
1506,03/07/24:13:20:42,253.969,447
1507,03/07/24:13:20:43,253.911,447
1508,03/07/24:13:20:44,253.641,447
1509,03/07/24:13:20:45,253.544,447
1510,03/07/24:13:20:46,253.378,446
1511,03/07/24:13:20:47,255.175,450
1512,03/07/24:13:20:48,255.459,450
1513,03/07/24:13:20:49,255.348,450
1514,03/07/24:13:20:50,255.209,450
1515,03/07/24:13:20:51,255.164,450
1516,03/07/24:13:20:52,255.029,450
1517,03/07/24:13:20:53,254.913,449
1518,03/07/24:13:20:54,254.904,449
1519,03/07/24:13:20:55,254.852,449
1520,03/07/24:13:20:57,254.782,449
1521,03/07/24:13:20:58,254.793,449
1522,03/07/24:13:20:59,254.7,449
1523,03/07/24:13:21:00,254.617,449
1524,03/07/24:13:21:01,254.688,449
1525,03/07/24:13:21:02,254.612,449
1526,03/07/24:13:21:03,254.551,449
1527,03/07/24:13:21:04,254.561,449
1528,03/07/24:13:21:05,254.523,449
1529,03/07/24:13:21:06,254.458,448
1530,03/07/24:13:21:07,254.487,448
1531,03/07/24:13:21:08,254.478,448
1532,03/07/24:13:21:09,254.406,448
1533,03/07/24:13:21:10,254.426,448
1534,03/07/24:13:21:11,254.46,448
1535,03/07/24:13:21:12,254.374,448
1536,03/07/24:13:21:13,254.377,448
1537,03/07/24:13:21:14,254.365,448
1538,03/07/24:13:21:15,254.313,448
1539,03/07/24:13:21:16,254.285,448
1540,03/07/24:13:21:17,254.366,448
1541,03/07/24:13:21:18,254.297,448
1542,03/07/24:13:21:19,254.252,448
1543,03/07/24:13:21:20,254.312,448
1544,03/07/24:13:21:21,254.262,448
1545,03/07/24:13:21:22,254.224,448
1546,03/07/24:13:21:23,254.261,448
1547,03/07/24:13:21:25,254.244,448
1548,03/07/24:13:21:26,254.194,448
1549,03/07/24:13:21:27,254.211,448
1550,03/07/24:13:21:28,254.208,448
1551,03/07/24:13:21:29,254.182,448
1552,03/07/24:13:21:30,254.222,448
1553,03/07/24:13:21:31,254.243,448
1554,03/07/24:13:21:32,254.198,448
1555,03/07/24:13:21:33,254.224,448
1556,03/07/24:13:21:34,254.272,448
1557,03/07/24:13:21:35,254.265,448
1558,03/07/24:13:21:36,254.269,448
1559,03/07/24:13:21:37,254.333,448
1560,03/07/24:13:21:38,254.318,448
1561,03/07/24:13:21:39,254.353,448
1562,03/07/24:13:21:40,254.402,448
1563,03/07/24:13:21:41,254.363,448
1564,03/07/24:13:21:42,254.358,448
1565,03/07/24:13:21:43,254.401,448
1566,03/07/24:13:21:44,254.338,448
1567,03/07/24:13:21:45,254.403,448
1568,03/07/24:13:21:46,254.424,448
1569,03/07/24:13:21:47,254.415,448
1570,03/07/24:13:21:48,254.5,449
1571,03/07/24:13:21:49,254.504,449
1572,03/07/24:13:21:50,254.487,448
1573,03/07/24:13:21:52,254.563,449
1574,03/07/24:13:21:53,254.555,449
1575,03/07/24:13:21:54,254.547,449
1576,03/07/24:13:21:55,254.614,449
1577,03/07/24:13:21:56,254.615,449
1578,03/07/24:13:21:57,254.614,449
1579,03/07/24:13:21:58,254.661,449
1580,03/07/24:13:21:59,254.665,449
1581,03/07/24:13:22:00,254.715,449
1582,03/07/24:13:22:01,254.754,449
1583,03/07/24:13:22:02,254.73,449
1584,03/07/24:13:22:03,254.805,449
1585,03/07/24:13:22:04,254.807,449
1586,03/07/24:13:22:05,254.781,449
1587,03/07/24:13:22:06,254.829,449
1588,03/07/24:13:22:07,254.825,449
1589,03/07/24:13:22:08,254.872,449
1590,03/07/24:13:22:09,254.882,449
1591,03/07/24:13:22:10,254.888,449
1592,03/07/24:13:22:11,254.958,449
1593,03/07/24:13:22:12,254.961,449
1594,03/07/24:13:22:13,254.973,449
1595,03/07/24:13:22:14,255.061,450
1596,03/07/24:13:22:15,255.042,450
1597,03/07/24:13:22:16,255.1,450
1598,03/07/24:13:22:17,255.194,450
1599,03/07/24:13:22:18,255.131,450
1600,03/07/24:13:22:20,255.228,450
1601,03/07/24:13:22:21,255.235,450
1602,03/07/24:13:22:22,255.239,450
1603,03/07/24:13:22:23,255.366,450
1604,03/07/24:13:22:24,255.37,450
1605,03/07/24:13:22:25,255.414,450
1606,03/07/24:13:22:26,255.455,450
1607,03/07/24:13:22:27,255.445,450
1608,03/07/24:13:22:28,255.521,451
1609,03/07/24:13:22:29,255.54,451
1610,03/07/24:13:22:30,255.522,451
1611,03/07/24:13:22:31,255.612,451
1612,03/07/24:13:22:32,255.603,451
1613,03/07/24:13:22:33,255.647,451
1614,03/07/24:13:22:34,255.714,451
1615,03/07/24:13:22:35,255.712,451
1616,03/07/24:13:22:36,255.793,451
1617,03/07/24:13:22:37,255.767,451
1618,03/07/24:13:22:38,255.803,451
1619,03/07/24:13:22:39,255.858,451
1620,03/07/24:13:22:40,255.843,451
1621,03/07/24:13:22:41,255.89,451
1622,03/07/24:13:22:42,255.918,451
1623,03/07/24:13:22:43,255.915,451
1624,03/07/24:13:22:44,255.989,451
1625,03/07/24:13:22:45,255.999,451
1626,03/07/24:13:22:47,256.045,452
1627,03/07/24:13:22:48,256.085,452
1628,03/07/24:13:22:49,256.063,452
1629,03/07/24:13:22:50,256.161,452
1630,03/07/24:13:22:51,256.131,452
1631,03/07/24:13:22:52,256.214,452
1632,03/07/24:13:22:53,256.252,452
1633,03/07/24:13:22:54,256.263,452
1634,03/07/24:13:22:55,256.347,452
1635,03/07/24:13:22:56,256.324,452
1636,03/07/24:13:22:57,256.388,452
1637,03/07/24:13:22:58,256.419,452
1638,03/07/24:13:22:59,256.42,452
1639,03/07/24:13:23:00,256.5,453
1640,03/07/24:13:23:01,256.477,452
1641,03/07/24:13:23:02,256.6,453
1642,03/07/24:13:23:03,256.611,453
1643,03/07/24:13:23:04,256.65,453
1644,03/07/24:13:23:05,256.668,453
1645,03/07/24:13:23:06,256.645,453
1646,03/07/24:13:23:07,256.765,453
1647,03/07/24:13:23:08,256.79,453
1648,03/07/24:13:23:09,256.845,453
1649,03/07/24:13:23:10,256.901,453
1650,03/07/24:13:23:11,256.92,453
1651,03/07/24:13:23:12,256.981,453
1652,03/07/24:13:23:14,257.015,454
1653,03/07/24:13:23:15,257.093,454
1654,03/07/24:13:23:16,257.087,454
1655,03/07/24:13:23:17,257.189,454
1656,03/07/24:13:23:18,257.174,454
1657,03/07/24:13:23:19,257.242,454
1658,03/07/24:13:23:20,257.296,454
1659,03/07/24:13:23:21,257.344,454
1660,03/07/24:13:23:22,257.408,454
1661,03/07/24:13:23:23,257.411,454
1662,03/07/24:13:23:24,257.485,454
1663,03/07/24:13:23:25,257.472,454
1664,03/07/24:13:23:26,257.517,455
1665,03/07/24:13:23:27,257.524,455
1666,03/07/24:13:23:28,257.636,455
1667,03/07/24:13:23:29,257.656,455
1668,03/07/24:13:23:30,257.72,455
1669,03/07/24:13:23:31,257.786,455
1670,03/07/24:13:23:32,257.839,455
1671,03/07/24:13:23:33,257.895,455
1672,03/07/24:13:23:34,257.927,455
1673,03/07/24:13:23:35,258.005,456
1674,03/07/24:13:23:36,257.997,455
1675,03/07/24:13:23:37,258.086,456
1676,03/07/24:13:23:39,258.113,456
1677,03/07/24:13:23:40,258.239,456
1678,03/07/24:13:23:41,258.387,456
1679,03/07/24:13:23:42,258.478,456
1680,03/07/24:13:23:43,258.381,456
1681,03/07/24:13:23:44,258.362,456
1682,03/07/24:13:23:45,258.449,456
1683,03/07/24:13:23:46,258.445,456
1684,03/07/24:13:23:47,258.491,456
1685,03/07/24:13:23:48,258.527,457
1686,03/07/24:13:23:49,258.622,457
1687,03/07/24:13:23:50,258.714,457
1688,03/07/24:13:23:51,258.774,457
1689,03/07/24:13:23:52,258.881,457
1690,03/07/24:13:23:53,258.898,457
1691,03/07/24:13:23:54,258.907,457
1692,03/07/24:13:23:55,259.01,458
1693,03/07/24:13:23:56,259.029,458
1694,03/07/24:13:23:57,259.145,458
1695,03/07/24:13:23:58,259.174,458
1696,03/07/24:13:23:59,259.267,458
1697,03/07/24:13:24:00,259.357,458
1698,03/07/24:13:24:01,259.386,458
1699,03/07/24:13:24:02,259.526,459
1700,03/07/24:13:24:03,259.523,459
1701,03/07/24:13:24:04,259.556,459
1702,03/07/24:13:24:06,259.656,459
1703,03/07/24:13:24:07,259.686,459
1704,03/07/24:13:24:08,259.788,459
1705,03/07/24:13:24:09,259.851,459
1706,03/07/24:13:24:10,259.909,459
1707,03/07/24:13:24:11,260.005,460
1708,03/07/24:13:24:12,260.002,460
1709,03/07/24:13:24:13,260.077,460
1710,03/07/24:13:24:14,260.159,460
1711,03/07/24:13:24:15,260.181,460
1712,03/07/24:13:24:16,260.302,460
1713,03/07/24:13:24:17,260.299,460
1714,03/07/24:13:24:18,260.368,460
1715,03/07/24:13:24:19,260.387,460
1716,03/07/24:13:24:20,260.391,460
1717,03/07/24:13:24:21,260.519,461
1718,03/07/24:13:24:22,260.579,461
1719,03/07/24:13:24:23,260.639,461
1720,03/07/24:13:24:24,260.735,461
1721,03/07/24:13:24:25,260.746,461
1722,03/07/24:13:24:26,260.857,461
1723,03/07/24:13:24:27,260.917,461
1724,03/07/24:13:24:28,260.941,461
1725,03/07/24:13:24:30,261.041,462
1726,03/07/24:13:24:31,261.0,462
1727,03/07/24:13:24:32,261.088,462
1728,03/07/24:13:24:33,261.212,462
1729,03/07/24:13:24:34,261.214,462
1730,03/07/24:13:24:35,261.034,462
1731,03/07/24:13:24:36,260.862,461
1732,03/07/24:13:24:37,260.671,461
1733,03/07/24:13:24:38,260.613,461
1734,03/07/24:13:24:39,260.559,461
1735,03/07/24:13:24:40,260.502,461
1736,03/07/24:13:24:41,260.567,461
1737,03/07/24:13:24:42,260.527,461
1738,03/07/24:13:24:43,260.514,461
1739,03/07/24:13:24:44,260.592,461
1740,03/07/24:13:24:45,260.617,461
1741,03/07/24:13:24:46,260.64,461
1742,03/07/24:13:24:47,260.733,461
1743,03/07/24:13:24:48,260.697,461
1744,03/07/24:13:24:49,260.761,461
1745,03/07/24:13:24:50,260.829,461
1746,03/07/24:13:24:51,260.865,461
1747,03/07/24:13:24:52,260.954,461
1748,03/07/24:13:24:53,261.03,462
1749,03/07/24:13:24:54,261.047,462
1750,03/07/24:13:24:55,261.187,462
1751,03/07/24:13:24:57,261.229,462
1752,03/07/24:13:24:58,261.234,462
1753,03/07/24:13:24:59,261.36,462
1754,03/07/24:13:25:00,261.402,462
1755,03/07/24:13:25:01,261.423,462
1756,03/07/24:13:25:02,261.615,463
1757,03/07/24:13:25:03,261.615,463
1758,03/07/24:13:25:04,261.581,463
1759,03/07/24:13:25:05,261.725,463
1760,03/07/24:13:25:06,261.736,463
1761,03/07/24:13:25:07,261.785,463
1762,03/07/24:13:25:08,261.954,463
1763,03/07/24:13:25:09,261.94,463
1764,03/07/24:13:25:10,262.019,464
1765,03/07/24:13:25:11,262.17,464
1766,03/07/24:13:25:12,262.174,464
1767,03/07/24:13:25:13,262.201,464
1768,03/07/24:13:25:14,262.42,464
1769,03/07/24:13:25:15,262.428,464
1770,03/07/24:13:25:16,262.438,464
1771,03/07/24:13:25:17,262.589,465
1772,03/07/24:13:25:18,262.617,465
1773,03/07/24:13:25:19,262.631,465
1774,03/07/24:13:25:20,262.771,465
1775,03/07/24:13:25:21,262.834,465
1776,03/07/24:13:25:23,262.85,465
1777,03/07/24:13:25:24,262.996,465
1778,03/07/24:13:25:25,263.023,466
1779,03/07/24:13:25:26,263.015,466
1780,03/07/24:13:25:27,263.122,466
1781,03/07/24:13:25:28,263.202,466
1782,03/07/24:13:25:29,263.214,466
1783,03/07/24:13:25:30,263.31,466
1784,03/07/24:13:25:31,263.368,466
1785,03/07/24:13:25:32,263.378,466
1786,03/07/24:13:25:33,263.525,467
1787,03/07/24:13:25:34,263.572,467
1788,03/07/24:13:25:35,263.585,467
1789,03/07/24:13:25:36,263.749,467
1790,03/07/24:13:25:37,263.756,467
1791,03/07/24:13:25:38,263.805,467
1792,03/07/24:13:25:39,263.983,467
1793,03/07/24:13:25:40,263.965,467
1794,03/07/24:13:25:41,263.976,467
1795,03/07/24:13:25:42,264.134,468
1796,03/07/24:13:25:43,265.406,470
1797,03/07/24:13:25:44,266.346,472
1798,03/07/24:13:25:45,266.45,472
1799,03/07/24:13:25:47,266.363,472
1800,03/07/24:13:25:48,266.309,472
1801,03/07/24:13:25:49,266.31,472
1802,03/07/24:13:25:50,266.275,472
1803,03/07/24:13:25:51,266.389,472
1804,03/07/24:13:25:52,266.352,472
1805,03/07/24:13:25:53,266.363,472
1806,03/07/24:13:25:54,266.476,472
1807,03/07/24:13:25:55,266.465,472
1808,03/07/24:13:25:56,266.597,473
1809,03/07/24:13:25:57,266.665,473
1810,03/07/24:13:25:58,266.679,473
1811,03/07/24:13:25:59,266.751,473
1812,03/07/24:13:26:00,266.889,473
1813,03/07/24:13:26:01,266.861,473
1814,03/07/24:13:26:02,266.953,473
1815,03/07/24:13:26:03,267.06,474
1816,03/07/24:13:26:04,267.047,474
1817,03/07/24:13:26:05,267.048,474
1818,03/07/24:13:26:06,267.208,474
1819,03/07/24:13:26:07,267.212,474
1820,03/07/24:13:26:08,267.244,474
1821,03/07/24:13:26:09,267.353,474
1822,03/07/24:13:26:10,267.387,474
1823,03/07/24:13:26:12,267.417,474
1824,03/07/24:13:26:13,267.593,475
1825,03/07/24:13:26:14,267.648,475
1826,03/07/24:13:26:15,267.673,475
1827,03/07/24:13:26:16,267.873,475
1828,03/07/24:13:26:17,267.872,475
1829,03/07/24:13:26:18,267.892,475
1830,03/07/24:13:26:19,268.042,476
1831,03/07/24:13:26:20,268.077,476
1832,03/07/24:13:26:21,268.102,476
1833,03/07/24:13:26:22,268.225,476
1834,03/07/24:13:26:23,268.254,476
1835,03/07/24:13:26:24,268.278,476
1836,03/07/24:13:26:25,268.401,476
1837,03/07/24:13:26:26,268.434,476
1838,03/07/24:13:26:27,268.45,476
1839,03/07/24:13:26:28,268.608,477
1840,03/07/24:13:26:29,268.633,477
1841,03/07/24:13:26:30,268.653,477
1842,03/07/24:13:26:31,268.762,477
1843,03/07/24:13:26:32,268.77,477
1844,03/07/24:13:26:33,268.898,477
1845,03/07/24:13:26:34,268.964,477
1846,03/07/24:13:26:36,269.012,478
1847,03/07/24:13:26:37,269.123,478
1848,03/07/24:13:26:38,269.143,478
1849,03/07/24:13:26:39,269.256,478
1850,03/07/24:13:26:40,269.293,478
1851,03/07/24:13:26:41,269.318,478
1852,03/07/24:13:26:42,269.452,478
1853,03/07/24:13:26:43,269.467,478
1854,03/07/24:13:26:44,269.568,479
1855,03/07/24:13:26:45,269.586,479
1856,03/07/24:13:26:46,269.611,479
1857,03/07/24:13:26:47,269.714,479
1858,03/07/24:13:26:48,269.702,479
1859,03/07/24:13:26:49,269.838,479
1860,03/07/24:13:26:50,269.872,479
1861,03/07/24:13:26:51,269.956,479
1862,03/07/24:13:26:52,270.005,480
1863,03/07/24:13:26:53,270.066,480
1864,03/07/24:13:26:54,270.157,480
1865,03/07/24:13:26:55,270.181,480
1866,03/07/24:13:26:56,270.3,480
1867,03/07/24:13:26:57,270.318,480
1868,03/07/24:13:26:58,270.412,480
1869,03/07/24:13:26:59,270.424,480
1870,03/07/24:13:27:01,270.558,481
1871,03/07/24:13:27:02,270.625,481
1872,03/07/24:13:27:03,270.686,481
1873,03/07/24:13:27:04,270.794,481
1874,03/07/24:13:27:05,270.874,481
1875,03/07/24:13:27:06,270.949,481
1876,03/07/24:13:27:07,271.005,482
1877,03/07/24:13:27:08,271.07,482
1878,03/07/24:13:27:09,271.113,482
1879,03/07/24:13:27:10,271.202,482
1880,03/07/24:13:27:11,271.264,482
1881,03/07/24:13:27:12,271.344,482
1882,03/07/24:13:27:13,271.401,482
1883,03/07/24:13:27:14,271.477,482
1884,03/07/24:13:27:15,271.568,483
1885,03/07/24:13:27:16,271.64,483
1886,03/07/24:13:27:17,271.713,483
1887,03/07/24:13:27:18,271.8,483
1888,03/07/24:13:27:19,271.884,483
1889,03/07/24:13:27:20,271.949,483
1890,03/07/24:13:27:21,272.044,484
1891,03/07/24:13:27:22,272.094,484
1892,03/07/24:13:27:24,272.215,484
1893,03/07/24:13:27:25,272.24,484
1894,03/07/24:13:27:26,272.342,484
1895,03/07/24:13:27:27,272.368,484
1896,03/07/24:13:27:28,272.496,484
1897,03/07/24:13:27:29,272.502,485
1898,03/07/24:13:27:30,272.617,485
1899,03/07/24:13:27:31,272.643,485
1900,03/07/24:13:27:32,272.72,485
1901,03/07/24:13:27:33,272.762,485
1902,03/07/24:13:27:34,272.841,485
1903,03/07/24:13:27:35,272.899,485
1904,03/07/24:13:27:36,273.027,486
1905,03/07/24:13:27:37,273.087,486
1906,03/07/24:13:27:38,273.11,486
1907,03/07/24:13:27:39,273.208,486
1908,03/07/24:13:27:40,273.246,486
1909,03/07/24:13:27:41,273.339,486
1910,03/07/24:13:27:42,273.338,486
1911,03/07/24:13:27:43,273.482,486
1912,03/07/24:13:27:44,273.491,486
1913,03/07/24:13:27:45,273.617,487
1914,03/07/24:13:27:46,273.631,487
1915,03/07/24:13:27:47,273.758,487
1916,03/07/24:13:27:48,273.78,487
1917,03/07/24:13:27:50,273.902,487
1918,03/07/24:13:27:51,273.898,487
1919,03/07/24:13:27:52,273.975,487
1920,03/07/24:13:27:53,274.012,488
1921,03/07/24:13:27:54,274.092,488
1922,03/07/24:13:27:55,274.172,488
1923,03/07/24:13:27:56,274.211,488
1924,03/07/24:13:27:57,274.329,488
1925,03/07/24:13:27:58,274.381,488
1926,03/07/24:13:27:59,274.542,489
1927,03/07/24:13:28:00,274.587,489
1928,03/07/24:13:28:01,274.695,489
1929,03/07/24:13:28:02,274.762,489
1930,03/07/24:13:28:03,274.819,489
1931,03/07/24:13:28:04,274.919,489
1932,03/07/24:13:28:05,274.962,489
1933,03/07/24:13:28:06,275.081,490
1934,03/07/24:13:28:07,275.057,490
1935,03/07/24:13:28:08,275.186,490
1936,03/07/24:13:28:09,274.957,489
1937,03/07/24:13:28:10,274.764,489
1938,03/07/24:13:28:11,274.528,489
1939,03/07/24:13:28:12,274.361,488
1940,03/07/24:13:28:13,274.285,488
1941,03/07/24:13:28:14,274.274,488
1942,03/07/24:13:28:16,274.31,488
1943,03/07/24:13:28:17,274.305,488
1944,03/07/24:13:28:18,274.352,488
1945,03/07/24:13:28:19,274.33,488
1946,03/07/24:13:28:20,274.448,488
1947,03/07/24:13:28:21,274.45,488
1948,03/07/24:13:28:22,274.594,489
1949,03/07/24:13:28:23,274.589,489
1950,03/07/24:13:28:24,274.732,489
1951,03/07/24:13:28:25,274.752,489
1952,03/07/24:13:28:26,274.842,489
1953,03/07/24:13:28:27,274.923,489
1954,03/07/24:13:28:28,274.94,489
1955,03/07/24:13:28:29,275.079,490
1956,03/07/24:13:28:30,275.104,490
1957,03/07/24:13:28:31,275.149,490
1958,03/07/24:13:28:32,275.331,490
1959,03/07/24:13:28:33,275.312,490
1960,03/07/24:13:28:35,275.383,490
1961,03/07/24:13:28:36,275.505,491
1962,03/07/24:13:28:37,275.506,491
1963,03/07/24:13:28:38,275.506,491
1964,03/07/24:13:28:39,275.647,491
1965,03/07/24:13:28:40,275.624,491
1966,03/07/24:13:28:41,275.633,491
1967,03/07/24:13:28:42,275.813,491
1968,03/07/24:13:28:43,275.818,491
1969,03/07/24:13:28:44,275.837,491
1970,03/07/24:13:28:45,275.998,491
1971,03/07/24:13:28:46,275.976,491
1972,03/07/24:13:28:47,276.048,492
1973,03/07/24:13:28:48,276.189,492
1974,03/07/24:13:28:49,276.18,492
1975,03/07/24:13:28:50,276.231,492
1976,03/07/24:13:28:51,276.353,492
1977,03/07/24:13:28:52,276.361,492
1978,03/07/24:13:28:53,276.454,492
1979,03/07/24:13:28:54,276.551,493
1980,03/07/24:13:28:55,276.491,492
1981,03/07/24:13:28:56,276.492,492
1982,03/07/24:13:28:57,276.628,493
1983,03/07/24:13:28:59,276.591,493
1984,03/07/24:13:29:00,276.643,493
1985,03/07/24:13:29:01,276.817,493
1986,03/07/24:13:29:02,276.806,493
1987,03/07/24:13:29:03,276.793,493
1988,03/07/24:13:29:04,276.977,493
1989,03/07/24:13:29:05,277.16,494
1990,03/07/24:13:29:06,277.118,494
1991,03/07/24:13:29:07,277.062,494
1992,03/07/24:13:29:08,277.045,494
1993,03/07/24:13:29:09,277.202,494
1994,03/07/24:13:29:10,277.49,494
1995,03/07/24:13:29:11,277.441,494
1996,03/07/24:13:29:12,277.405,494
1997,03/07/24:13:29:13,277.395,494
1998,03/07/24:13:29:14,277.412,494
1999,03/07/24:13:29:15,277.44,494
2000,03/07/24:13:29:16,277.613,495
2001,03/07/24:13:29:17,278.203,496
2002,03/07/24:13:29:18,278.277,496
2003,03/07/24:13:29:19,278.262,496
2004,03/07/24:13:29:20,278.229,496
2005,03/07/24:13:29:21,278.176,496
2006,03/07/24:13:29:22,278.474,496
2007,03/07/24:13:29:23,278.771,497
2008,03/07/24:13:29:24,278.668,497
2009,03/07/24:13:29:25,278.577,497
2010,03/07/24:13:29:26,278.49,496
2011,03/07/24:13:29:28,278.469,496
2012,03/07/24:13:29:29,278.48,496
2013,03/07/24:13:29:30,278.509,497
2014,03/07/24:13:29:31,278.527,497
2015,03/07/24:13:29:32,278.544,497
2016,03/07/24:13:29:33,278.591,497
2017,03/07/24:13:29:34,278.737,497
2018,03/07/24:13:29:35,278.765,497
2019,03/07/24:13:29:36,278.873,497
2020,03/07/24:13:29:37,278.93,497
2021,03/07/24:13:29:38,279.027,498
2022,03/07/24:13:29:39,279.07,498
2023,03/07/24:13:29:40,279.184,498
2024,03/07/24:13:29:41,279.22,498
2025,03/07/24:13:29:42,279.321,498
2026,03/07/24:13:29:43,279.393,498
2027,03/07/24:13:29:44,279.526,499
2028,03/07/24:13:29:45,279.575,499
2029,03/07/24:13:29:46,279.683,499
2030,03/07/24:13:29:47,279.751,499
2031,03/07/24:13:29:48,279.825,499
2032,03/07/24:13:29:49,279.865,499
2033,03/07/24:13:29:50,279.921,499
2034,03/07/24:13:29:51,279.947,499
2035,03/07/24:13:29:52,280.013,500
2036,03/07/24:13:29:53,280.056,500
2037,03/07/24:13:29:54,280.163,500
2038,03/07/24:13:29:55,280.228,500
2039,03/07/24:13:29:56,280.357,500
2040,03/07/24:13:29:57,280.379,500
2041,03/07/24:13:29:58,280.455,500
2042,03/07/24:13:29:59,280.451,500
2043,03/07/24:13:30:00,280.535,501
